# index, node_type, node_subtype, name, _pos
289,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD03,"array([ -3.90640245, -23.14388049])"
290,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD04,"array([-17.76373848,   4.74982963])"
291,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD05,"array([-31.1247482 ,  -8.19328592])"
292,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,DD06,"array([ -1.96956501, -15.49848435])"
293,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA01,"array([ -1.10328526, -19.91291812])"
294,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA02,"array([ -1.09415362, -18.65655394])"
295,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA03,"array([ -2.75839414, -20.01166529])"
296,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA04,"array([ -2.27945797, -20.73717191])"
297,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA05,"array([ 13.7450687 , -14.43522856])"
298,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA06,"array([  0.45269978, -19.30514354])"
299,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA07,"array([ -1.57172728, -19.55403521])"
300,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA08,"array([ -0.38912178, -18.97184779])"
301,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA09,"array([ 16.08017167, -12.51706976])"
302,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA10,"array([ -0.91921292, -18.01293432])"
303,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA11,"array([ -0.59382543, -17.57465564])"
304,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VA12,"array([ -1.20243971, -16.64074623])"
305,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB01,"array([ -4.95882726, -18.46213408])"
306,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB02,"array([ -5.02505475, -20.52321176])"
307,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB03,"array([ -3.48763065, -21.52544072])"
308,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB04,"array([ -4.74801501, -21.14050158])"
309,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB05,"array([ -5.85833488, -20.71367521])"
310,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB06,"array([ -5.39615698, -21.13111973])"
311,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB07,"array([ -5.26313071, -21.93442581])"
312,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB08,"array([20.71635033, -8.2537013 ])"
313,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB09,"array([-26.78919166, -28.50102598])"
314,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB10,"array([ -1.61495238, -16.86332117])"
315,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VB11,"array([ -2.54501208, -17.45442716])"
316,MOTOR NEURONS,VENTRAL CORD MOTOR NEURONS,VD01,"array([ -4.90370266, -17.73799806])"
